구별,총 검거 수,총 범죄 수,총 검거율,소계
강남구,2866.0,4308.5,66.94317731722855,2780.0
강동구,3171.0,5244.0,60.46910755148741,773.0
강북구,3113.0,4257.0,73.1266149870801,748.0
관악구,3712.0,6345.0,58.50275807722616,1496.0
광진구,3707.0,5909.0,62.734811304789304,707.0
구로구,3502.0,5646.0,62.0262132483174,1561.0
금천구,2796.0,3781.0,73.94869082253372,1015.0
노원구,3268.0,5130.0,63.70370370370371,1265.0
도봉구,1900.0,2664.0,71.32132132132132,485.0
동대문구,3205.0,4720.0,67.90254237288136,1294.0
동작구,2397.0,4074.0,58.83652430044183,1091.0
마포구,3597.0,5854.0,61.44516569866758,574.0
서대문구,2579.0,4029.0,64.0109208240258,962.0
서초구,1725.0,2722.0,61.62401988487445,1930.0
성동구,2123.0,3358.0,63.222156045265045,1062.0
성북구,1364.5,2077.0,65.5898019951361,1464.0
송파구,4113.0,6778.0,60.68161699616405,618.0
양천구,3502.5,5056.5,68.59555464694364,2034.0
영등포구,4154.0,6867.0,60.49220911606233,904.0
용산구,2483.0,3820.0,65.0,1624.0
은평구,1583.5,2372.5,66.75114044103063,1873.0
종로구,1471.5,2352.5,62.45792554170525,1002.0
중구,1471.0,2477.0,59.27411652340019,671.0
중랑구,3405.0,5193.0,65.56903523974582,660.0
