,구별,총 범죄 수,총 검거 수,소계
0,중구,2860,1716,671
1,중구,2094,1226,671
2,종로구,2472,1589,1002
3,종로구,2233,1354,1002
4,서대문구,4029,2579,962
5,용산구,3820,2483,1624
6,성북구,2237,1498,1464
7,성북구,1917,1231,1464
8,동대문구,4720,3205,1294
9,마포구,5854,3597,574
10,영등포구,6867,4154,904
11,성동구,3358,2123,1062
12,동작구,4074,2397,1091
13,광진구,5909,3707,707
14,은평구,2085,1393,1873
15,은평구,2660,1774,1873
16,강북구,4257,3113,748
17,금천구,3781,2796,1015
18,중랑구,5193,3405,660
19,강남구,5194,3370,2780
20,강남구,3423,2362,2780
21,관악구,6345,3712,1496
22,양천구,5585,4190,2034
23,양천구,4528,2815,2034
24,강동구,5244,3171,773
25,구로구,5646,3502,1561
26,서초구,4183,2714,1930
27,서초구,1261,736,1930
28,송파구,6778,4113,618
29,노원구,5130,3268,1265
30,도봉구,2664,1900,485
